geoid,census_tract,white_pop,total_pop,white_pct,non_white_pct
09001010101,"Census Tract 101.01, Fairfield County, Connecticut",3979,4391,90.61717148713278,9.38282851286722
09001010102,"Census Tract 101.02, Fairfield County, Connecticut",3709,4136,89.67601547388782,10.323984526112184
09001010201,"Census Tract 102.01, Fairfield County, Connecticut",3125,3501,89.26021136818052,10.73978863181948
09001010202,"Census Tract 102.02, Fairfield County, Connecticut",4428,5743,77.10255963781995,22.89744036218005
09001010300,"Census Tract 103, Fairfield County, Connecticut",3625,4137,87.6238820401257,12.376117959874307
09001010400,"Census Tract 104, Fairfield County, Connecticut",4764,5615,84.84416740872662,15.15583259127338
09001010500,"Census Tract 105, Fairfield County, Connecticut",4958,6478,76.53596789132449,23.46403210867551
09001010600,"Census Tract 106, Fairfield County, Connecticut",1441,1942,74.20185375901133,25.79814624098867
09001010700,"Census Tract 107, Fairfield County, Connecticut",2466,3391,72.72191094072545,27.27808905927455
09001010800,"Census Tract 108, Fairfield County, Connecticut",2782,3292,84.50789793438639,15.492102065613608
09001010900,"Census Tract 109, Fairfield County, Connecticut",3340,5317,62.8173782208012,37.1826217791988
09001011000,"Census Tract 110, Fairfield County, Connecticut",4670,5597,83.43755583348222,16.56244416651778
09001011100,"Census Tract 111, Fairfield County, Connecticut",4522,5148,87.83993783993785,12.160062160062154
09001011200,"Census Tract 112, Fairfield County, Connecticut",1445,1857,77.81367797522887,22.18632202477113
09001011300,"Census Tract 113, Fairfield County, Connecticut",1930,2910,66.32302405498281,33.67697594501719
09001020101,"Census Tract 201.01, Fairfield County, Connecticut",1458,2588,56.33693972179289,43.66306027820711
09001020102,"Census Tract 201.02, Fairfield County, Connecticut",1952,3560,54.831460674157306,45.168539325842694
09001020200,"Census Tract 202, Fairfield County, Connecticut",3468,4047,85.69310600444774,14.306893995552258
09001020301,"Census Tract 203.01, Fairfield County, Connecticut",2616,3385,77.2821270310192,22.7178729689808
09001020302,"Census Tract 203.02, Fairfield County, Connecticut",3433,3966,86.56076651538073,13.439233484619265
09001020400,"Census Tract 204, Fairfield County, Connecticut",2955,3545,83.3568406205924,16.643159379407606
09001020500,"Census Tract 205, Fairfield County, Connecticut",4223,5119,82.49658136354758,17.503418636452423
09001020600,"Census Tract 206, Fairfield County, Connecticut",3178,4790,66.34655532359082,33.65344467640918
09001020700,"Census Tract 207, Fairfield County, Connecticut",3520,4266,82.51289263947493,17.487107360525073
09001020800,"Census Tract 208, Fairfield County, Connecticut",2274,2751,82.6608505997819,17.339149400218105
09001020900,"Census Tract 209, Fairfield County, Connecticut",3330,5197,64.0754281316144,35.9245718683856
09001021000,"Census Tract 210, Fairfield County, Connecticut",2557,3423,74.70055506865323,25.29944493134677
09001021100,"Census Tract 211, Fairfield County, Connecticut",4222,6894,61.24165941398317,38.75834058601683
09001021200,"Census Tract 212, Fairfield County, Connecticut",3615,4418,81.82435491172477,18.175645088275232
09001021300,"Census Tract 213, Fairfield County, Connecticut",2682,4660,57.553648068669524,42.446351931330476
09001021401,"Census Tract 214.01, Fairfield County, Connecticut",977,3584,27.260044642857146,72.73995535714286
09001021402,"Census Tract 214.02, Fairfield County, Connecticut",1691,3306,51.14942528735632,48.85057471264368
