geoid,name,median_income
09001010101,"Census Tract 101.01, Fairfield County, Connecticut",186726
09001010102,"Census Tract 101.02, Fairfield County, Connecticut",250001
09001010201,"Census Tract 102.01, Fairfield County, Connecticut",250001
09001010202,"Census Tract 102.02, Fairfield County, Connecticut",151528
09001010300,"Census Tract 103, Fairfield County, Connecticut",250001
09001010400,"Census Tract 104, Fairfield County, Connecticut",155733
09001010500,"Census Tract 105, Fairfield County, Connecticut",87589
09001010600,"Census Tract 106, Fairfield County, Connecticut",111029
09001010700,"Census Tract 107, Fairfield County, Connecticut",90000
09001010800,"Census Tract 108, Fairfield County, Connecticut",175850
09001010900,"Census Tract 109, Fairfield County, Connecticut",200556
09001011000,"Census Tract 110, Fairfield County, Connecticut",247500
09001011100,"Census Tract 111, Fairfield County, Connecticut",250001
09001011200,"Census Tract 112, Fairfield County, Connecticut",250001
09001011300,"Census Tract 113, Fairfield County, Connecticut",97234
09001020101,"Census Tract 201.01, Fairfield County, Connecticut",78903
09001020102,"Census Tract 201.02, Fairfield County, Connecticut",51538
09001020200,"Census Tract 202, Fairfield County, Connecticut",239458
09001020301,"Census Tract 203.01, Fairfield County, Connecticut",178426
09001020302,"Census Tract 203.02, Fairfield County, Connecticut",231250
09001020400,"Census Tract 204, Fairfield County, Connecticut",161111
09001020500,"Census Tract 205, Fairfield County, Connecticut",179306
09001020600,"Census Tract 206, Fairfield County, Connecticut",136458
09001020700,"Census Tract 207, Fairfield County, Connecticut",137548
09001020800,"Census Tract 208, Fairfield County, Connecticut",196776
09001020900,"Census Tract 209, Fairfield County, Connecticut",81299
09001021000,"Census Tract 210, Fairfield County, Connecticut",141659
09001021100,"Census Tract 211, Fairfield County, Connecticut",89976
09001021200,"Census Tract 212, Fairfield County, Connecticut",137750
09001021300,"Census Tract 213, Fairfield County, Connecticut",109679
09001021401,"Census Tract 214.01, Fairfield County, Connecticut",75128
09001021402,"Census Tract 214.02, Fairfield County, Connecticut",68424
09001021501,"Census Tract 215.01, Fairfield County, Connecticut",43585
09001021502,"Census Tract 215.02, Fairfield County, Connecticut",43708
09001021601,"Census Tract 216.01, Fairfield County, Connecticut",93485
09001021602,"Census Tract 216.02, Fairfield County, Connecticut",91522
09001021701,"Census Tract 217.01, Fairfield County, Connecticut",65238
09001021702,"Census Tract 217.02, Fairfield County, Connecticut",96538
09001021801,"Census Tract 218.01, Fairfield County, Connecticut",103750
09001021802,"Census Tract 218.02, Fairfield County, Connecticut",74050
09001021900,"Census Tract 219, Fairfield County, Connecticut",89286
09001022000,"Census Tract 220, Fairfield County, Connecticut",95000
09001022101,"Census Tract 221.01, Fairfield County, Connecticut",42425
09001022102,"Census Tract 221.02, Fairfield County, Connecticut",92222
09001022201,"Census Tract 222.01, Fairfield County, Connecticut",104327
09001022202,"Census Tract 222.02, Fairfield County, Connecticut",97250
09001022300,"Census Tract 223, Fairfield County, Connecticut",89605
09001022400,"Census Tract 224, Fairfield County, Connecticut",176000
09001030100,"Census Tract 301, Fairfield County, Connecticut",250001
09001030200,"Census Tract 302, Fairfield County, Connecticut",250001
09001030300,"Census Tract 303, Fairfield County, Connecticut",250001
09001030400,"Census Tract 304, Fairfield County, Connecticut",198750
