town_of_release,reports_by_town
HARTFORD,3043
GROTON,2341
SOUTHINGTON,2226
MANCHESTER,2141
WEST HAVEN,1840
ENFIELD,1780
BRIDGEPORT,1683
NEW BRITAIN,1672
EAST HARTFORD,1665
STAMFORD,1629
BLOOMFIELD,1621
NORWALK,1616
NEW HAVEN,1472
BRISTOL,1337
GREENWICH,1307
FAIRFIELD,1296
WATERBURY,1283
WINDHAM,1241
MIDDLETOWN,1221
TRUMBULL,1202
WESTPORT,1157
DANBURY,1130
WEST HARTFORD,1115
BERLIN,1090
MILFORD,1071
SIMSBURY,1033
STRATFORD,1018
STAFFORD,1000
MERIDEN,992
WINDSOR LOCKS,926
SOUTH WINDSOR,863
ROCKY HILL,846
NAUGATUCK,804
WINDSOR,789
CROMWELL,776
NEW LONDON,734
WALLINGFORD,715
MANSFIELD,713
FARMINGTON,671
HAMDEN,628
KILLINGLY,615
NEWTOWN,615
CHESHIRE,590
VERNON,589
WOLCOTT,585
TOLLAND,584
DARIEN,580
GLASTONBURY,577
SHELTON,554
WETHERSFIELD,554
ORANGE,547
BRANFORD,545
RIDGEFIELD,540
NEWINGTON,539
TORRINGTON,522
MADISON,505
ANSONIA,493
WILTON,491
NORTH HAVEN,479
NORWICH,470
PLYMOUTH,468
NEW MILFORD,465
STONINGTON,462
NEW CANAAN,459
LEDYARD,457
WINCHESTER,456
SOUTHBURY,451
WATERFORD,444
PLAINVILLE,443
BROOKFIELD,440
PLAINFIELD,434
MONROE,422
AVON,421
NEW FAIRFIELD,400
MONTVILLE,399
EAST HAMPTON,352
GRANBY,351
PORTLAND,344
SEYMOUR,335
COLCHESTER,327
OXFORD,326
GUILFORD,324
WATERTOWN,306
THOMASTON,293
SUFFIELD,291
EAST WINDSOR,287
EAST LYME,283
BETHEL,282
WILLINGTON,278
EAST HAVEN,277
WESTON,274
CANTERBURY,273
OLD SAYBROOK,266
PUTNAM,251
ESSEX,248
CLINTON,246
COVENTRY,239
LITCHFIELD,232
HADDAM,223
ELLINGTON,213
EASTON,212
NORTH STONINGTON,211
EAST GRANBY,210
FRANKLIN,200
CANTON,198
NORTH BRANFORD,198
THOMPSON,198
DEEP RIVER,192
DERBY,192
PROSPECT,192
LISBON,191
BOLTON,190
SOMERS,190
GRISWOLD,187
REDDING,186
LEBANON,184
WESTBROOK,182
MIDDLEBURY,178
OLD LYME,176
WOODBRIDGE,176
EAST HADDAM,167
PRESTON,166
ASHFORD,158
HEBRON,158
NEW HARTFORD,157
BURLINGTON,151
BROOKLYN,148
WOODBURY,141
WOODSTOCK,133
HARWINTON,128
BETHANY,126
DURHAM,126
COLUMBIA,125
MARLBOROUGH,120
WASHINGTON,109
MIDDLEFIELD,108
SALISBURY,107
BARKHAMSTED,105
POMFRET,103
SHERMAN,103
SALEM,102
NA,100
STERLING,97
SHARON,91
KENT,86
BEACON FALLS,85
SPRAGUE,81
CHESTER,80
KILLINGWORTH,80
VOLUNTOWN,72
ANDOVER,66
BETHLEHEM,64
LYME,64
ROXBURY,64
NORFOLK,63
NORTH CANAAN,62
CANAAN,59
CHAPLIN,58
EASTFORD,58
BRIDGEWATER,56
CORNWALL,52
BOZRAH,49
GOSHEN,49
MORRIS,48
HAMPTON,47
UNION,44
WARREN,42
HARTLAND,33
COLEBROOK,30
SCOTLAND,25
