town_of_release,reports_by_town,population,per_thousand_spill_rate
FRANKLIN,200,1881,106.3264221158958
STAFFORD,1000,11449,87.34387282732116
BLOOMFIELD,1621,21560,75.18552875695732
WINDSOR LOCKS,926,12537,73.8613703437824
GROTON,2341,37743,62.02474631057415
UNION,44,793,55.48549810844893
CANAAN,59,1081,54.5790934320074
CROMWELL,776,14317,54.20129915485088
BERLIN,1090,20197,53.968411150170816
CANTERBURY,273,5102,53.50842806742454
SOUTHINGTON,2226,43753,50.876511324937724
WINDHAM,1241,24399,50.862740276240835
WILLINGTON,278,5544,50.144300144300146
LISBON,191,4242,45.02593116454503
WINCHESTER,456,10240,44.53125
DEEP RIVER,192,4445,43.194600674915634
ENFIELD,1780,41245,43.15674627227543
WESTPORT,1157,27427,42.184708498924415
SIMSBURY,1033,24935,41.427712051333465
ROCKY HILL,846,20712,40.84588644264195
NORTH STONINGTON,211,5174,40.780827212988015
EAST GRANBY,210,5218,40.24530471444998
TOLLAND,584,14577,40.063113123413594
PLYMOUTH,468,11711,39.96242848603877
NORFOLK,63,1594,39.52321204516939
BOLTON,190,4834,39.30492345883326
THOMASTON,293,7468,39.23406534547402
ORANGE,547,14258,38.364426988357415
ASHFORD,158,4222,37.4230222643297
ESSEX,248,6793,36.50817017518033
PORTLAND,344,9429,36.48319015802312
WOLCOTT,585,16190,36.13341568869673
MANCHESTER,2141,59461,36.00679436941861
EASTFORD,58,1675,34.62686567164179
KILLINGLY,615,17837,34.47889219039076
PRESTON,166,4840,34.29752066115702
BRIDGEWATER,56,1652,33.898305084745765
WEST HAVEN,1840,55004,33.45211257363101
SHARON,91,2724,33.40675477239354
CORNWALL,52,1573,33.057851239669425
EAST HARTFORD,1665,50718,32.82858156867385
TRUMBULL,1202,37135,32.368385620035006
SOUTH WINDSOR,863,26783,32.22193182242467
GRANBY,351,11041,31.79059867765601
WARREN,42,1352,31.06508875739645
WASHINGTON,109,3666,29.73267866884888
LEDYARD,457,15456,29.567805383022776
NEW FAIRFIELD,400,13536,29.55082742316785
SHERMAN,103,3537,29.120723777212326
MADISON,505,17565,28.750355821235413
PLAINFIELD,434,15143,28.660106980122826
BARKHAMSTED,105,3667,28.63376056722116
KENT,86,3051,28.187479514913147
ROXBURY,64,2279,28.082492321193506
LITCHFIELD,232,8279,28.022708056528568
EASTON,212,7630,27.78505897771953
VOLUNTOWN,72,2592,27.777777777777775
SPRAGUE,81,2958,27.383367139959432
EAST HAMPTON,352,12960,27.160493827160494
HAMPTON,47,1738,27.04257767548907
PUTNAM,251,9302,26.98344442055472
CHAPLIN,58,2156,26.901669758812616
WINDSOR,789,29453,26.788442603469935
STERLING,97,3623,26.77339221639525
LYME,64,2401,26.655560183256977
WILTON,491,18457,26.602373083382997
WESTBROOK,182,6860,26.53061224489796
WESTON,274,10354,26.46320262700406
DARIEN,580,21926,26.452613335765758
NEW LONDON,734,27980,26.23302358827734
ANSONIA,493,18923,26.05295143476193
LEBANON,184,7132,25.799214806505887
HADDAM,223,8670,25.72087658592849
EAST WINDSOR,287,11176,25.680028632784538
MIDDLEFIELD,108,4248,25.423728813559325
NAUGATUCK,804,31705,25.3587762182621
PLAINVILLE,443,17479,25.344699353509924
OLD SAYBROOK,266,10535,25.249169435215947
SALISBURY,107,4239,25.241802311866007
HARTFORD,3043,120686,25.214192201249524
OXFORD,326,12941,25.191252607990112
FARMINGTON,671,26728,25.104759054175396
BROOKFIELD,440,17543,25.08122898022003
MIDDLETOWN,1221,48729,25.056947608200456
STONINGTON,462,18480,25
POMFRET,103,4307,23.914557696772693
BETHANY,126,5277,23.877202956225126
COLUMBIA,125,5258,23.773297831875237
SALEM,102,4326,23.578363384188627
NEW HARTFORD,157,6698,23.43983278590624
HARWINTON,128,5562,23.013304566702622
OLD LYME,176,7684,22.90473711608537
MIDDLEBURY,178,7807,22.800051236070193
WATERFORD,444,19603,22.649594449829106
SOUTHBURY,451,19979,22.57370238750688
NEW BRITAIN,1672,74396,22.47432657669767
MONROE,422,18796,22.45158544371143
MANSFIELD,713,31949,22.316817427775515
AVON,421,18871,22.30936357373748
MONTVILLE,399,17891,22.301715946565313
NEWTOWN,615,27577,22.301193023171482
NEW CANAAN,459,20775,22.093862815884478
COLEBROOK,30,1369,21.91380569758948
BRISTOL,1337,61330,21.800097831403882
RIDGEFIELD,540,25007,21.593953692965968
CHESTER,80,3757,21.293585307426138
REDDING,186,8746,21.266864852504
THOMPSON,198,9315,21.256038647342997
MORRIS,48,2267,21.173356859285402
COLCHESTER,327,15572,20.999229386077573
ANDOVER,66,3150,20.952380952380953
FAIRFIELD,1296,62871,20.61363744810803
GREENWICH,1307,63638,20.53804330745781
WETHERSFIELD,554,27129,20.420951749050833
PROSPECT,192,9435,20.349761526232115
CHESHIRE,590,28994,20.34903773194454
MILFORD,1071,52679,20.33068205546802
BOZRAH,49,2420,20.24793388429752
SEYMOUR,335,16809,19.929799512166102
NORTH HAVEN,479,24114,19.86397943103591
MARLBOROUGH,120,6109,19.643149451628744
CANTON,198,10091,19.62144485184818
COVENTRY,239,12285,19.454619454619458
WOODBRIDGE,176,9051,19.445365153021765
STRATFORD,1018,52477,19.39897478895516
BRANFORD,545,28148,19.361944010231635
NORTH CANAAN,62,3209,19.32066064194453
SOMERS,190,9843,19.303058010769075
VERNON,589,30625,19.23265306122449
BETHLEHEM,64,3409,18.773833968905837
EAST HADDAM,167,8949,18.661302938875853
SUFFIELD,291,15731,18.49850613438434
CLINTON,246,13399,18.359579073065156
NEWINGTON,539,30356,17.755962577414678
NORWALK,1616,91401,17.68033172503583
DURHAM,126,7207,17.483002636325796
BROOKLYN,148,8502,17.407668783815573
WEST HARTFORD,1115,64271,17.34841530394735
HEBRON,158,9121,17.322661988817014
HARTLAND,33,1908,17.29559748427673
MERIDEN,992,60242,16.466916769031574
NEW MILFORD,465,28275,16.445623342175065
GLASTONBURY,577,35199,16.39251115088497
GRISWOLD,187,11509,16.24815361890694
WALLINGFORD,715,44017,16.2437240157212
WOODSTOCK,133,8312,16.000962463907605
SCOTLAND,25,1577,15.852885225110969
BURLINGTON,151,9710,15.550978372811535
DERBY,192,12358,15.536494578410746
GOSHEN,49,3203,15.29815797689666
EAST LYME,283,18788,15.062806046412604
GUILFORD,324,22019,14.714564694127798
NORTH BRANFORD,198,13464,14.705882352941176
TORRINGTON,522,35563,14.678176756741557
WOODBURY,141,9802,14.384819424607223
BEACON FALLS,85,6126,13.8752856676461
WATERTOWN,306,22183,13.794347022494703
BETHEL,282,20684,13.633726551924193
SHELTON,554,41897,13.222903787860707
DANBURY,1130,86967,12.993434291167913
KILLINGWORTH,80,6239,12.822567719185766
ELLINGTON,213,16977,12.546386287329916
STAMFORD,1629,136188,11.961406291303197
NORWICH,470,40009,11.74735684470994
BRIDGEPORT,1683,148377,11.34272832042702
WATERBURY,1283,115016,11.154969743340057
NEW HAVEN,1472,138915,10.596407875319441
HAMDEN,628,60809,10.327418638688352
EAST HAVEN,277,27682,10.00650242034535
