"","Product.Name","Price"
"1","UNC Football Carolina Blue Arch Tee - Ty Adams","$39.99"
"2","UNC Football Carolina Blue Arch Tee - Ty Adams","$39.99"
"3","UNC Football Mascot Carolina Blue Tee - Ty Adams","$54.99"
"4","UNC Football Mascot Carolina Blue Tee - Ty Adams","$39.99"
"5","UNC Football Mascot Carolina Blue Crew - Ty Adams","$54.99"
"6","UNC Football Mascot Carolina Blue Crew - Ty Adams","$39.99"
"7","UNC Football Sideline Navy Tee - Ty Adams","$64.99"
"8","UNC Football Sideline Navy Tee - Ty Adams","$39.99"
"9","UNC Football Sideline Navy Crew - Ty Adams","$64.99"
"10","UNC Football Sideline Navy Crew - Ty Adams","$39.99"
"11","UNC Football Sport Grey Staple Tee - Ty Adams","$64.99"
"12","UNC Football Sport Grey Staple Tee - Ty Adams","$39.99"
"13","UNC Football Sport Grey Staple Hoodie - Ty Adams","$64.99"
"14","UNC Football Sport Grey Staple Hoodie - Ty Adams","$64.99"
"15","UNC Football Carolina Blue Classic Tee - Ty Adams","$39.99"
"16","UNC Football Carolina Blue Classic Tee - Ty Adams","$64.99"
"17","UNC Football Carolina Blue Classic Hoodie - Ty Adams","$39.99"
"18","UNC Football Carolina Blue Classic Hoodie - Ty Adams","$39.99"
"19","UNC Football Carolina Blue Script Tee - Ty Adams","$54.99"
"20","UNC Football Carolina Blue Script Tee - Ty Adams","$39.99"
"21","UNC Football Carolina Blue Script Hoodie - Ty Adams","$54.99"
"22","UNC Football Carolina Blue Script Hoodie - Ty Adams","$39.99"
"23","UNC Football Navy Script Tee - Ty Adams","$64.99"
"24","UNC Football Navy Script Tee - Ty Adams","$39.99"
"25","UNC Football Navy Script Hoodie - Ty Adams","$64.99"
"26","UNC Football Navy Script Hoodie - Ty Adams","$39.99"
"27","UNC Football Carolina Blue Arch Hoodie - Ty Adams","$64.99"
"28","UNC Football Carolina Blue Arch Hoodie - Ty Adams","$39.99"
"29","UNC Football White Logo Comfort Colors Tee - Ty Adams","$64.99"
"30","UNC Football White Logo Comfort Colors Tee - Ty Adams","$64.99"
"31","UNC Football White Logo Hoodie - Ty Adams","$39.99"
"32","UNC Football White Logo Hoodie - Ty Adams","$64.99"
